player_name,normalized_name,club_name,normalized_club,age,position,position_group,league_name,current_value_gbp,peak_value_gbp,trajectory
Adam Aznou,adam aznou,,,0,,,Premier League,12556000.0,12556000.0,
Joe Gomez,joe gomez,,,0,,,Premier League,12556000.0,12556000.0,
Jayden Bogle,jayden bogle,,,0,,,Premier League,12384000.0,12384000.0,
Kyle Walker-Peters,kyle walker-peters,,,0,,,Premier League,12384000.0,12384000.0,
Bashir Humphreys,bashir humphreys,,,0,,,Premier League,12298000.0,12298000.0,
Ryan Yates,ryan yates,,,0,,,Premier League,12298000.0,12298000.0,
Saša Luki?,saša luki?,,,0,,,Premier League,12298000.0,12298000.0,
Taiwo Awoniyi,taiwo awoniyi,,,0,,,Premier League,12298000.0,12298000.0,
Marc Guiu,marc guiu,,,0,,,Premier League,12212000.0,12212000.0,
David Brooks,david brooks,,,0,,,Premier League,12126000.0,12126000.0,
Timothy Castagne,timothy castagne,,,0,,,Premier League,12126000.0,12126000.0,
Hugo Bueno,hugo bueno,,,0,,,Premier League,12040000.0,12040000.0,
Stefan Bajcetic,stefan bajcetic,,,0,,,Premier League,12040000.0,12040000.0,
Senne Lammens,senne lammens,,,0,,,Premier League,11954000.0,11954000.0,
